date,Company,Max,Min,open,close,rev,cnt,amt
3/18/2024,Govi,265.00,250.05,265.00,260.06,0.00,7829745.00,1996599581.61
3/15/2024,Govi,265.00,255.00,261.00,255.00,-5.06,257495975.00,65661782757.85
3/14/2024,Govi,265.00,261.00,265.00,264.99,9.99,6690.00,1749925.00
3/13/2024,Govi,265.00,261.00,263.00,262.06,-2.93,6969.00,1832694.40
3/12/2024,Govi,262.00,261.00,262.00,261.60,-0.46,8320.00,2174545.00
3/11/2024,Govi,263.00,260.00,263.00,263.00,1.40,35357.00,9255496.95
3/7/2024,Govi,268.00,262.00,268.00,262.00,-1.00,25793.00,6762524.00
3/6/2024,Govi,267.00,257.00,257.00,267.00,5.00,721.00,188440.00
3/5/2024,Govi,269.00,255.00,269.00,257.54,-9.46,9245.00,2399330.02
3/4/2024,Govi,270.00,259.00,270.00,261.28,3.74,63710.00,16824983.88
3/1/2024,Govi,270.00,265.00,269.00,269.88,8.60,22687.00,6095416.24
2/29/2024,Govi,269.00,265.00,267.00,269.00,-0.88,13425.00,3587348.68
2/28/2024,Govi,267.50,265.00,266.00,265.35,-3.65,4307.00,1144002.19
2/27/2024,Govi,268.00,264.00,264.00,266.00,0.65,27777.00,7356494.00
2/26/2024,Govi,265.00,264.00,264.00,264.80,-1.20,9433.00,2492591.87
2/23/2024,Govi,268.00,262.00,264.00,263.43,-1.37,24637.00,6503529.81
2/22/2024,Govi,265.90,261.00,261.00,262.30,-1.13,15979.00,4177866.89
2/21/2024,Govi,267.00,260.50,267.00,266.10,3.80,10356.00,2707974.78
2/20/2024,Govi,269.00,261.00,269.00,266.62,0.52,7332.00,1963898.13
2/19/2024,Govi,270.00,262.00,270.00,267.36,0.74,4076.00,1091319.10
2/16/2024,Govi,274.00,270.00,274.00,270.13,2.77,3774.00,1024427.50
2/15/2024,Govi,278.00,272.00,272.00,273.99,3.86,6308.00,1737856.00
2/14/2024,Govi,272.00,268.00,270.00,271.93,-2.06,5909.00,1595071.00
2/13/2024,Govi,269.00,265.00,265.00,267.93,-4.00,4867.00,1298554.67
2/9/2024,Govi,265.00,262.00,265.00,264.84,-3.09,911.00,241279.00
2/8/2024,Govi,265.00,260.00,260.00,261.67,-3.17,8259.00,2156222.50
2/7/2024,Govi,265.00,259.00,259.00,260.59,-1.08,27036.00,7038033.50
2/6/2024,Govi,259.50,258.50,259.50,258.76,-1.83,7961.00,2062236.26
2/5/2024,Govi,265.69,259.50,263.00,260.26,1.50,29731.00,7747049.09
2/2/2024,Govi,265.69,260.77,261.00,261.28,1.02,10016.00,2620595.77
2/1/2024,Govi,261.00,260.50,261.00,260.77,-0.51,2293.00,597817.58
1/31/2024,Govi,261.00,260.50,260.50,260.53,-0.24,8885.00,2314815.04
1/30/2024,Govi,261.99,260.50,260.50,260.93,0.40,77193.00,20147155.68
1/29/2024,Govi,262.00,260.00,262.00,260.64,-0.29,15597.00,4072545.85
1/26/2024,Govi,268.00,261.50,267.99,261.67,1.03,1654.00,435598.96
1/25/2024,Govi,268.00,261.50,267.00,265.69,4.02,5369.00,1405986.06
1/24/2024,Govi,268.00,260.50,261.00,265.76,0.07,7122.00,1880691.80
1/23/2024,Govi,270.80,260.50,270.00,260.54,-5.22,15225.00,3986976.61
1/22/2024,Govi,270.80,266.00,270.80,270.00,9.46,4745.00,1281661.20
1/19/2024,Govi,270.80,260.50,270.00,270.80,0.80,35650.00,9538591.36
1/18/2024,Govi,270.80,270.00,270.80,270.00,-0.80,891.00,240738.00
1/17/2024,Govi,270.80,260.03,260.03,269.81,-0.19,1946.00,515476.95
1/16/2024,Govi,275.00,260.00,274.00,270.00,0.19,12928.00,3385044.63
1/15/2024,Govi,275.00,260.00,270.00,273.99,3.99,3746.00,1002056.10
1/12/2024,Govi,280.00,270.00,280.00,271.13,-2.86,1262.00,348254.90
1/11/2024,Govi,282.10,250.60,280.00,279.65,8.52,13910.00,3668305.92
1/10/2024,Govi,285.00,279.00,285.00,280.99,1.34,1613.00,453513.16
1/9/2024,Govi,285.99,278.00,285.00,281.32,0.33,9147.00,2590524.67
1/8/2024,Govi,282.00,278.00,281.98,278.23,-3.09,5632.00,1571128.67
1/5/2024,Govi,285.00,278.00,283.99,281.98,3.75,6780.00,1900182.48
1/4/2024,Govi,283.99,283.19,283.99,283.98,2.00,1785.00,506879.18
1/3/2024,Govi,283.99,278.00,279.00,283.19,-0.79,1627.00,457696.22
1/2/2024,Govi,279.00,270.00,273.00,274.46,-8.73,7026.00,1917673.36
12/28/2023,Govi,287.00,270.00,287.00,273.59,-0.87,3773.00,1051274.35
12/27/2023,Govi,288.87,275.00,288.87,280.55,6.96,16435.00,4661914.26
12/26/2023,Govi,289.85,265.00,265.00,289.77,9.22,17930.00,4890323.73
12/25/2023,Govi,280.00,252.00,254.00,277.40,-12.37,24073.00,6516340.94
12/22/2023,Govi,259.00,253.00,259.00,255.89,-21.51,1832.00,468009.00
12/21/2023,Govi,259.00,255.00,258.99,256.12,0.23,2042.00,524783.30
12/20/2023,Govi,259.00,250.00,259.00,250.13,-5.99,16136.00,4082430.88
12/19/2023,Govi,264.98,254.01,264.98,254.04,3.91,45293.00,11570561.26
12/18/2023,Govi,267.00,255.61,255.61,264.98,10.94,12178.00,3177656.34
12/15/2023,Govi,255.80,254.01,255.00,255.80,-9.18,5231.00,1337142.16
12/14/2023,Govi,255.80,253.00,255.00,255.00,-0.80,4696.00,1191887.19
12/13/2023,Govi,255.80,253.00,253.00,255.05,0.05,5628.00,1433370.40
12/12/2023,Govi,257.00,255.00,256.00,255.12,0.07,17771.00,4546382.48
12/11/2023,Govi,258.00,254.00,255.00,255.82,0.70,4746.00,1211329.20
12/8/2023,Govi,258.00,253.30,254.00,253.66,-2.16,12076.00,3064703.30
12/7/2023,Govi,254.00,253.40,254.00,253.95,0.29,593.00,150592.00
12/6/2023,Govi,255.00,253.30,255.00,253.48,-0.47,19400.00,4942540.34
12/5/2023,Govi,257.00,255.50,255.60,257.00,3.52,3255.00,831976.60
12/4/2023,Govi,258.00,255.00,255.00,255.55,-1.45,10618.00,2725615.50
12/1/2023,Govi,258.00,253.80,256.00,254.48,-1.07,40650.00,10356957.00
11/30/2023,Govi,257.00,255.00,256.00,257.00,2.52,4008.00,1026839.90
11/29/2023,Govi,257.00,255.20,255.60,257.00,0.00,5430.00,1387523.37
11/28/2023,Govi,257.00,255.50,257.00,255.54,-1.46,5573.00,1426629.58
11/27/2023,Govi,258.00,255.20,256.00,255.58,0.04,21773.00,5568723.30
11/24/2023,Govi,258.00,255.20,255.80,258.00,2.42,7853.00,2010591.60
11/23/2023,Govi,255.80,255.00,255.80,255.80,-2.20,4721.00,1207591.80
11/22/2023,Govi,256.00,253.80,255.00,255.80,0.00,5654.00,1437767.25
11/22/2023,Govi,250.00,250.00,0.00,0.00,-255.80,1792731.00,448182750.00
11/21/2023,Govi,257.00,253.34,257.00,254.01,254.01,12882.00,3278250.03
11/20/2023,Govi,257.00,253.30,257.00,253.34,-0.67,17336.00,4396155.39
11/17/2023,Govi,258.00,253.00,256.00,258.00,4.66,13010.00,3297803.49
11/16/2023,Govi,257.90,253.00,253.00,257.54,-0.46,3893.00,989433.14
11/15/2023,Govi,258.00,253.00,258.00,257.01,-0.53,10760.00,2748135.84
11/13/2023,Govi,261.00,255.00,260.00,257.72,0.71,32142.00,8273716.63
11/10/2023,Govi,264.00,255.05,264.00,260.26,2.54,5480.00,1423077.69
11/9/2023,Govi,265.00,258.00,264.00,259.76,-0.50,21304.00,5563312.98
11/8/2023,Govi,265.00,264.00,265.00,264.90,5.14,6411.00,1693776.30
11/7/2023,Govi,265.00,260.00,260.00,263.40,-1.50,14201.00,3733128.50
11/6/2023,Govi,262.00,260.00,261.49,261.06,-2.34,20548.00,5364837.78
11/3/2023,Govi,261.49,256.00,256.00,260.09,-0.97,24165.00,6282163.94
11/2/2023,Govi,260.00,256.00,259.67,256.12,-3.97,11525.00,2956515.02
11/1/2023,Govi,260.00,256.03,256.03,259.26,3.14,57847.00,15010089.28
10/31/2023,Govi,261.49,258.00,259.00,259.67,0.41,10044.00,2598023.54
10/30/2023,Govi,260.00,259.00,260.00,259.00,-0.67,925.00,240097.00
10/27/2023,Govi,261.49,258.00,261.49,258.11,-0.89,28080.00,7290818.40
10/26/2023,Govi,261.49,261.49,261.49,260.00,1.89,2079.00,542867.38
10/25/2023,Govi,262.00,260.00,262.00,261.49,1.49,45954.00,11966813.81
10/24/2023,Govi,262.92,261.00,262.92,261.96,0.47,96458.00,25280463.76
10/23/2023,Govi,264.00,262.59,264.00,262.92,0.96,2869.00,756058.03
10/20/2023,Govi,267.00,263.47,263.47,264.00,1.08,6958.00,1847963.12
10/19/2023,Govi,265.99,262.02,264.00,262.59,-1.41,6102.00,1603355.30
10/18/2023,Govi,267.00,263.02,267.00,263.47,0.88,1327.00,351124.86
10/17/2023,Govi,267.00,262.00,263.00,263.08,-0.39,16628.00,4370067.10
10/16/2023,Govi,267.00,263.00,263.00,267.00,3.92,2453.00,649469.63
10/13/2023,Govi,269.00,268.00,268.00,268.08,1.08,4522.00,1212246.00
10/12/2023,Govi,269.00,268.00,268.00,268.00,-0.08,949.00,254378.00
10/11/2023,Govi,270.00,262.00,265.00,262.87,-5.13,5848.00,1536079.27
10/10/2023,Govi,270.00,261.00,269.00,262.05,-0.82,38927.00,10402323.80
10/9/2023,Govi,269.00,255.00,269.00,260.65,-1.40,26438.00,6852870.58
10/6/2023,Govi,272.00,257.00,260.00,259.66,-0.99,1810.00,469723.30
10/5/2023,Govi,273.00,258.00,273.00,266.16,6.50,6807.00,1811743.53
10/4/2023,Govi,273.00,260.00,273.00,260.03,-6.13,21160.00,5524772.50
10/3/2023,Govi,283.00,270.00,283.00,270.14,10.11,13041.00,3558147.00
10/2/2023,Govi,295.00,262.00,285.00,270.49,0.35,12650.00,3468091.16
9/29/2023,Govi,302.00,286.00,301.98,296.86,26.37,8662.00,2594901.83
9/28/2023,Govi,303.00,274.00,276.00,299.75,2.89,87899.00,25514396.30
9/27/2023,Govi,276.00,275.00,276.00,275.95,-23.80,17561.00,4845025.49
9/26/2023,Govi,277.00,270.00,270.00,275.43,-0.52,9712.00,2647697.60
9/25/2023,Govi,272.00,263.00,270.00,263.54,-11.89,2846.00,761799.55
9/22/2023,Govi,258.00,257.00,257.00,258.00,-5.54,39972.00,10299959.00
9/21/2023,Govi,271.99,255.80,257.00,267.58,9.58,59937.00,15630899.85
9/20/2023,Govi,258.00,257.00,257.00,258.00,-9.58,39972.00,10299959.00
9/19/2023,Govi,257.80,255.78,255.78,257.70,-0.30,23888.00,6124664.22
9/18/2023,Govi,255.78,254.00,254.00,255.25,-2.45,45279.00,11545984.28
9/15/2023,Govi,256.50,253.00,253.00,255.78,0.53,5507.00,1409688.00
9/14/2023,Govi,257.00,252.00,257.00,256.50,0.72,7197.00,1821479.54
9/13/2023,Govi,257.00,252.00,252.00,256.69,0.19,24902.00,6370417.00
9/12/2023,Govi,256.00,252.00,256.00,252.00,-4.69,5271.00,1337852.84
9/11/2023,Govi,256.77,254.00,254.00,256.15,4.15,3193.00,813695.64
9/8/2023,Govi,257.99,249.00,250.00,254.94,-1.21,29771.00,7585104.00
9/7/2023,Govi,250.00,248.40,250.00,249.76,-5.18,14542.00,3623371.40
9/6/2023,Govi,255.00,250.00,255.00,250.20,0.44,3380.00,850351.55
9/5/2023,Govi,257.00,250.00,250.00,250.66,0.46,18740.00,4706572.75
9/4/2023,Govi,258.00,256.00,256.00,257.00,6.34,4195.00,1077478.00
9/1/2023,Govi,260.00,247.00,259.00,255.59,-1.41,5227.00,1335980.94
8/31/2023,Govi,258.00,246.00,258.00,251.83,-3.76,16236.00,4107136.60
8/30/2023,Govi,259.50,258.00,259.50,258.00,6.17,3825.00,991403.90
8/29/2023,Govi,265.00,258.50,263.00,258.50,0.50,12735.00,3315516.60
8/28/2023,Govi,265.00,257.00,265.00,261.82,3.32,5457.00,1432694.68
8/25/2023,Govi,265.00,257.00,265.00,262.83,1.01,5789.00,1506872.60
8/24/2023,Govi,267.00,257.00,258.00,262.37,-0.46,5873.00,1540903.50
8/23/2023,Govi,258.00,257.70,257.70,258.00,-4.37,8060.00,2079217.20
8/22/2023,Govi,258.00,257.00,258.00,257.70,-0.30,10052.00,2592821.80
8/21/2023,Govi,260.00,257.00,260.00,257.00,-0.70,856.00,222530.00
8/18/2023,Govi,266.00,260.00,266.00,260.00,3.00,2653.00,703897.00
8/17/2023,Govi,269.50,254.00,269.50,266.00,6.00,2963.00,786192.50
8/16/2023,Govi,269.50,260.00,269.50,269.50,3.50,52894.00,13771389.50
8/15/2023,Govi,269.50,250.00,265.00,260.52,-8.98,5920.00,1518092.70
8/14/2023,Govi,271.00,252.00,260.00,253.15,-7.37,10564.00,2796232.50
8/11/2023,Govi,262.88,261.00,261.00,262.88,9.73,844.00,221444.12
8/10/2023,Govi,262.99,260.00,262.99,260.31,-2.57,10050.00,2629559.34
8/9/2023,Govi,264.00,252.00,252.00,256.04,-4.27,2766.00,702552.80
8/8/2023,Govi,260.00,240.00,253.00,241.32,-14.72,17680.00,4420128.50
8/7/2023,Govi,270.00,252.00,270.00,257.45,16.13,10523.00,2745461.20
8/4/2023,Govi,275.00,265.00,275.00,265.09,7.64,20329.00,5509552.08
8/3/2023,Govi,278.00,277.00,277.20,277.00,11.91,54404.00,15071591.10
8/2/2023,Govi,281.00,278.00,278.00,278.20,1.20,3512.00,977001.40
8/1/2023,Govi,283.00,278.00,282.90,280.26,2.06,37414.00,10486074.81
7/31/2023,Govi,283.00,281.00,283.00,283.00,2.74,1877.00,530991.00
7/28/2023,Govi,284.00,280.00,283.99,283.09,0.09,6623.00,1858925.57
7/27/2023,Govi,287.00,280.00,287.00,286.51,3.42,11875.00,3402272.71
7/26/2023,Govi,288.00,279.01,287.99,279.86,-6.65,29319.00,8398448.68
7/25/2023,Govi,288.79,282.00,285.30,284.44,4.58,1411.00,401344.75
7/24/2023,Govi,290.00,278.00,283.00,288.99,4.55,107517.00,30490410.01
7/21/2023,Govi,285.00,276.00,280.00,282.33,-6.66,42320.00,11892511.17
7/20/2023,Govi,289.99,277.00,277.00,285.00,2.67,25157.00,6991897.64
7/19/2023,Govi,278.00,276.00,276.00,276.41,-8.59,2965.00,818996.16
7/18/2023,Govi,280.00,278.00,280.00,278.00,1.59,14472.00,4030642.86
7/17/2023,Govi,290.00,278.20,290.00,279.09,1.09,6959.00,1991116.30
7/7/2023,Govi,294.50,278.00,294.50,278.20,-0.89,5574.00,1609899.89
7/6/2023,Govi,290.00,277.00,280.00,277.35,-0.85,9046.00,2519516.86
7/5/2023,Govi,290.00,276.00,290.00,277.44,0.09,545.00,152801.00
7/4/2023,Govi,294.50,272.10,272.10,275.23,-2.21,5237.00,1441663.73
7/3/2023,Govi,295.00,285.00,295.00,285.00,9.77,6468.00,1846944.06
6/30/2023,Govi,295.00,295.00,295.00,295.00,10.00,179.00,52805.00
6/29/2023,Govi,298.49,298.00,298.00,298.03,3.03,394.00,117422.29
6/28/2023,Govi,302.00,297.00,302.00,299.66,1.63,435.00,130351.91
6/27/2023,Govi,303.00,270.10,290.00,298.49,-1.17,17429.00,5190754.11
6/26/2023,Govi,295.00,285.00,290.01,290.00,-8.49,21556.00,6225259.34
6/23/2023,Govi,299.50,290.00,298.00,290.00,0.00,30180.00,8859311.00
6/22/2023,Govi,299.00,270.00,299.00,298.14,8.14,22361.00,6577983.26
6/21/2023,Govi,303.50,297.00,301.00,302.26,4.12,18737.00,5663504.50
6/20/2023,Govi,302.00,295.00,298.00,302.00,-0.26,35620.00,10698629.00
6/19/2023,Govi,303.00,289.00,300.00,290.09,-11.91,20983.00,6288793.99
6/16/2023,Govi,307.40,300.00,307.00,300.02,9.93,47365.00,14345387.61
6/15/2023,Govi,310.00,298.00,310.00,307.43,7.41,68112.00,20704891.35
6/14/2023,Govi,318.00,300.00,318.00,301.21,-6.22,66396.00,20211484.20
6/13/2023,Govi,310.00,276.00,287.00,298.84,-2.37,118503.00,35263706.04
6/12/2023,Govi,300.00,265.00,275.00,287.08,-11.76,50752.00,14126748.71
